Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.192500,-87.890000,0.000000,top
"C2","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",132.300000,-87.900000,180.000000,top
"C3","220pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",120.137500,-75.800000,90.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.737500,-84.000000,-90.000000,top
"C11","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",123.192500,-90.490000,0.000000,top
"C21","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",132.300000,-90.400000,180.000000,top
"D1","~","D_SMA_Handsoldering",127.800000,-84.550000,-90.000000,top
"L1","6.8uH","L_6.3x6.3_H3",131.030000,-75.900000,0.000000,top
"R1","125.62k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",116.630000,-81.730000,90.000000,top
"R2","40.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",116.637500,-78.300000,90.000000,top
"R3","68.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",118.437500,-75.800000,-90.000000,top
"R4","24.9k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.837500,-75.800000,90.000000,top
"R5","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.537500,-75.800000,-90.000000,top
"R6","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",118.820000,-87.460000,180.000000,top
"U1","MP1584EN","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.3",120.837500,-82.175000,180.000000,top
